battery,category,cpu_name,cpu_type,disk,graphic,id,keyboard_light,name,ram,resolution,ssd,weight
,do-hoa-ky-thuat,Intel Core i5,9300H,1TB,GTX 1050,,,LAPTOP LENOVO L340-15IRH (81LK007HVN),,,0,2.2 kg
,do-hoa-ky-thuat,Core i5,Quad-core,512GB,Intel Iris Plus Graphics 655,,,Macbook Pro 13 Touch Bar 512GB 2018 (MR9R2SA/A),,,1,1.37 kg
,do-hoa-ky-thuat,Intel Core i3,8130U,256 GB,Intel UHD Graphics 620,,,LAPTOP ASUS VIVOBOOK S530UA - BQ177T,,,1,1.6 kg
,do-hoa-ky-thuat,Intel Core i7,8565U,2TB,AMD Radeon 520,,,LAPTOP DELL INSPIRON 3580 (70188451),,,0,2.19 kg
,do-hoa-ky-thuat,Intel Core i5,8300H,1TB,NVIDIA GeForce GTX 1050Ti,,,LAPTOP ASUS FX505GE-BQ052T,,,0,2.2 kg
,do-hoa-ky-thuat,Intel Core i7,8550U,1TB,AMD Radeon 520,,,LAPTOP DELL INSPIRON 14 3476 70181694,,,0,1.95 kg
,do-hoa-ky-thuat,Intel Core i5,8265U,1TB,NVIDIA GeForce MX230,,,LAPTOP ASUS X509FJ- EJ053T,,,0,1.8 kg
,do-hoa-ky-thuat,Intel Core i5,8300H,1TB,NVIDIA GeForce GTX 1050,,,LAPTOP ACER NITRO 5 AN515-52-51GF NH.Q3MSV.001,,,0,2.45 kg
,do-hoa-ky-thuat,Intel Core i5,8250U,1TB,Intel UHD Graphics 620,,,LAPTOP ACER SPIN 3 SP314-51(NX.GUWSV.004),,,0,1.7 kg
,do-hoa-ky-thuat,Core i5,9300H,256GB,VGA NVIDIA,,,Laptop Dell Inspiron 7591-N5I5591W,,,1,
,do-hoa-ky-thuat,i7,9750H,256GB,NVIDIA GeForce GTX 1050,,,Laptop Dell Inspiron 15 7591 KJ2G41,,,1,1.8 kg
,do-hoa-ky-thuat,Core i5,9300H,512GB,NVIDIA,,,Laptop Dell G3 15 3590 - N5I5518W,,,1,
,do-hoa-ky-thuat,Intel Core i5,8250U,1TB,NVIDIA GeForce MX110,,,LAPTOP ASUS X407U - BV145T,,,0,1.52 kg
,do-hoa-ky-thuat,Intel Core i5,8250U,256 GB,Intel® UHD Graphics 620,,,Laptop MSI PS42 8M-288VN,,,1,1.18 kg
,do-hoa-ky-thuat,Intel Core i5,1035G1,256 GB,Intel UHD Graphics,,,Laptop HP Pavilion 15-CS3119TX (9FN16PA),,,1,"1,746 kg"
,do-hoa-ky-thuat,Intel Core i7,8550U,256 GB,Intel UHD Graphics 620,,,LAPTOP ASUS S430UA-EB097T,,,1,1.40 kg
,do-hoa-ky-thuat,Intel Core i5,1035G1,512 GB,Intel UHD Graphics,,,Laptop HP Pavilion 15-CS3060TX (8RJ61PA),,,1,"1,761 kg"
,do-hoa-ky-thuat,,,512 GB,NVIDIA GeForce MX250,,,Laptop HP Pavilion 15-CS3063TX (8RK42PA),,,1,"1,766 kg"
,do-hoa-ky-thuat,Intel Core i5,1035G1,256 GB,Intel UHD Graphics,,,Laptop HP Pavilion 15-CS3116TX (9AV24PA),,,1,"1,755 kg"
,do-hoa-ky-thuat,Intel Core,i7,512 GB,,,,Macbook Pro 16.0 inch 512GB Gray (MVVJ2SA/A),,,1,2.0 kg
,do-hoa-ky-thuat,Intel Core,i7,512 GB,,,,Macbook Pro 16.0 inch 512GB Silver (MVVL2SA/A),,,1,2.0 kg
,do-hoa-ky-thuat,Core i5,1035G1,512GB PCie,NVIDIA GeForce MX230 2GB,,,Laptop Dell Inspiron 15 5000 5593 N5I5461W,,,1,
,do-hoa-ky-thuat,Intel Core,i9,1 TB,,,,Macbook Pro 16.0 inch 1TB Gray (MVVK2SA/A),,,1,2.0 kg
,do-hoa-ky-thuat,Intel Core,i9,1 TB,,,,Macbook Pro 16.0 inch 1TB Silver (MVVM2SA/A),,,1,2.0 kg
,hoc-tap-van-phong,Core i5,8250U,,Intel UHD Graphics 620,,,Laptop HP NoteBook 14S-CF1040TU (7PU14PA),,,0,
,hoc-tap-van-phong,Intel Core i5,8265U,256 GB,Intel HD Graphics 620,,,Laptop HP 348 G5 (7XU21PA),,,1,1.48 kg
,hoc-tap-van-phong,Core i5,8265U,512GB,Intel UHD Graphics 620,,,LAPTOP ASUS X509FA-EJ203T,,,1,1.9 kg
,hoc-tap-van-phong,Intel Core i5,8265U,1TB,NVIDIA GeForce MX130,,,Laptop Acer Aspire A515-53G-564C (NX.H82SV.001),,,0,2.072 kg
,hoc-tap-van-phong,Intel Core i3,7130U,500 GB,Intel HD Graphics 620,,,Laptop Lenovo Ideapad 330-15IKB 81DC00ENVN,,,0,1.8 kg
,hoc-tap-van-phong,Core i5,8265U,,ntel HD Graphics 620,,,Laptop Dell Vostro 3580 (T3RMD1),,,0,2.2 kg
,hoc-tap-van-phong,Intel Core i5,8265U,1TB,Intel UHD Graphics 620,,,Máy tính xách tay Dell Vostro 5581 (70175950),,,0,1.9 kg
,hoc-tap-van-phong,Intel Core i7,8565U,256GB,AMD Radeon 520,,,Laptop Dell Vostro 3580 (T3RMD2),,,1,2.21 kg
,hoc-tap-van-phong,Intel Core i7,8565U,2TB,AMD Radeon 520,,,Laptop Dell Inspiron 3580 (70194513),,,0,2.19 kg
,hoc-tap-van-phong,AMD Ryzen™ 5,2500U,1TB,AMD Radeon Vega 8 Graphics,,,LAPTOP ASUS X505ZA-EJ505T,,,0,1.6 kg
,hoc-tap-van-phong,Intel Core i3,8145U,1TB,Intel UHD Graphics 620,,,Laptop Dell Vostro 3480 (70187706),,,0,1.8 kg
