Unnamed: 0,id,title,brand,price,weight,cpu,ssd,ram,battery
254,21922156,Laptop Lenovo Legion Y540-15IRH 81SY0037VN Core i5-9300H/ GTX 1650 4GB/ Dos (15.6 FHD IPS) - Hàng Chính Hãng,Lenovo,21959000,2.3,Intel Core i5,,8GB,3 Cell 52.5 WHr
255,42709367,"Laptop ASUS ZenBook Pro Duo UX581GV-H2029T (Core i7-9750H/ 32GB DDR4 2666MHz/ 1TB SSD M.2 PCIE/ RTX 2060 6GB/ 15.6” OLED 4K Touch, 100% DCI-P3/ Win10) - Hàng Chính Hãng",Asus,68579000,2.5,Intel Core i7,True,32GB,8 Cells 71WHrs
256,22600139,Laptop Asus Vivobook S15 S530FA-BQ431T Core i3-8145U/ Win10 (15.6 FHD IPS) - Hàng Chính Hãng,Asus,12169000,,Intel Core i3-8145U 2.1GHz up to 3.9GHz 4MB,,"4GB DDR4 2400MHz (2x SO-DIMM socket, up to 16GB SDRAM)",3 Cells 42WHrs
257,39999585,Laptop Dell Vostro 3490 70196712 Core i3-10110U/ Win10 (14 HD) - Hàng Chính Hãng,Dell,11709000,1.79,Intel Core i3,False,4GB,3 Cell 42WHr
258,26412868,Laptop HP 15s-du0041TX 6ZF66PA Core i7-8565U/ MX130 2GB/ Win10 (15.6 HD) - Hàng Chính Hãng,HP,16769000,1.74,Intel Core i7,,8GB,3-Cell 41 Whr Li-ion
259,42964219,Laptop MSI PS42 8RB-479VN (Core i5-8250U/ 8GB DDR4 2400MHz/ 256GB PCIe NVMe/ MX150 2GB/ 14 FHD IPS/ Win10) - Hàng Chính Hãng,MSI,19019000,1.19,Intel Core i5,,8GB,4 Cell 3290mAh
260,32438331,Laptop Asus Vivobook A512FA-EJ837T Core i3-8145U/ Win10 (15.6 FHD) - Hàng Chính Hãng,Asus,12090000,,Intel Core i3-8145U 2.1GHz up to 3.9GHz 4MB,,"4GB DDR4 2400MHz (1x SO-DIMM socket, up to 12GB SDRAM)",2 Cells 37WHrs
261,4164051,Laptop Asus Vivobook X507UF-EJ074T Core i7-8550U/Win10 (15.6 inch) (Gold) - Hàng Chính Hãng,Asus,15529000,1.68,Intel Core i7,False,4GB,3 Cells 33 WHrs
262,39482089,Laptop Asus Zenbook UM433DA-A5012T AMD R5-3500U/ Numpad/ Win10 + Office365 (14 FHD IPS) - Hàng Chính Hãng,Asus,19589000,1.12,AMD R5-3500U,,8GB,3-cell 50Wh
263,13947739,Laptop HP ProBook 440 G6 (Intel Core i7-8565U  8GB RAM DDR4  1TB HDD  14,HP,17749000,,Intel Core,False,8GB,3-Cell 45 Whr
264,32349091,Laptop Asus Vivobook X509FA-EJ203T Core i5-8265U/ Win10 (15.6 FHD) - Hàng Chính Hãng,Asus,13719000,1.8,Intel Core i5,True,4GB,2 Cells 32WHrs
265,7663962,Laptop HP 15 DA0048TU (4ME63PA) PENTIUM N5000 / Win 10 (15.6 inch ) - Hàng Chính Hãng,HP,6990000,,Intel Pentium,False,8 GB,Li-Ion 3 cell - Pin liền
266,34391666,Laptop Asus Vivobook S431FA-EB076T Core i5-8265U/ Win10 + Office365 (14 FHD) - Hàng Chính Hãng,Asus,16899000,,"Intel Core i5-8265U Processor (6MB Cache, upto 3.90 GHz)",,8GB DDR4 2400MHz,3 Cells 42WHrs
267,19266896,Dell Vostro 5581 70175957 S1 I5 8265U 8GB 1TB 128GB SSD 15.6,Dell,17490000,,,,,3 Cells 42WHr
268,22615339,Laptop Dell Inspiron 5584 N5I5384W Core i5-8265U/ MX130/ Win10 (15 FHD) - Hàng Chính Hãng,Dell,16149000,1.9,Intel Core i5,,1 x 4GB,"3 cell 42 Wh , Pin liền"
269,39992530,Laptop Dell Inspiron 5593 70196703 Core i3-1005G1/ Win10 (15.6 FHD) - Hàng Chính Hãng,Dell,12789000,1.83,Intel Core i3,True,4GB,"3 cell 42 Wh , Pin liền"
270,24351537,Laptop Asus Vivobook A412FA-EK377T Core i3-8145U/ Win10 (14 FHD) - Hàng Chính Hãng,Asus,11649000,,Intel Core i3,True,4GB,2 Cells 37WHrs
271,33586531,"Laptop ASUS S531FA-BQ105T Core i5-8265U, 8GB , 512GB, 15.6 inch,  Win10 - Hàng chính hãng",Asus,17790000,,,,,
272,43723705,Dell Inspiron 5593 N5I5461W-Silver I5-1035G1 8GB 512SS 2GB 15.6FHD W10 - Silver - Hàng Chính Hãng ,Dell,19700000,1.95,,,,
273,33590726,"Laptop ASUS X509FJ-EJ158T Core i7-8565U, 4GB, 512GB, 15.6",Asus,19490000,,,,,
274,33595881,"Laptop MSI GL65 9SEK-047VN Core i7 9750H, 16GB, 512GB, 15.6",MSI,37190000,,,,,
275,41369544,Laptop Asus FX705D (FX705DT-H7138T) AMD R7-3750H/8G/512GB SSD/GF GTX 1650 4GB/17.3,Asus,21790000,2.6,AMD Ryzen 7,,8GB,4 Cell 64 Wh Polymer Pin
276,16962470,Laptop MSI GS65 Stealth 8RE 630VN - Hàng chính hãng,MSI,39590000,,,,,
277,23563276,"Laptop Lenovo Yoga 520 14IKB 80X8016EVN (Gold) Màn hình cảm ứng, Xoay gập 360 độ - Hàng chính hãng",Lenovo,11100000,,,,,
278,26412838,Laptop Asus Vivobook S13 S330FA-EY113T Core i3-8145U/ Win10 (13.3 FHD) - Hàng Chính Hãng,Asus,15119000,1.2,Intel Core i3,True,8GB,3 Cells 42WHrs
279,34327716,Laptop Asus Vivobook  X507UA-EJ736T. Intel Core I3 7020/ Win 10 - Hàng Chính Hãng,Asus,10489000,,,,,
280,17048773,Laptop Asus ROG Strix G G531GD-AL034T Core i7-9750H/ GTX 1050 4GB/ Win10 (15.6 FHD IPS 120Hz) - Hàng Chính Hãng,Asus,24549000,2.4,Intel Core i7,True,8GB,3-Cell 48WHrs
281,10267502,"Laptop HP 15-da1031TX (Core i5-8265U/4GB RAM DDR4/1TB HDD/15.6'' HD/WIN10 HOME/Natural silver cover and base, ash silver keyboard frame/5NK55PA) - Hàng Chính Hãng",HP,14190000,1.8,Intel Core i5,False,4GB,"3 cell 41 Wh, Pin liền"
282,847181,Laptop Asus E402NA-GA025T E402N/Win10 14 inch - Hàng Chính Hãng,Asus,6550000,,,,4GB,2 Cells
283,2074761,Laptop HP Probook 450 G5 2ZD47PA Core i5-8250U/Free Dos (15.6 inch) - Bạc - Hàng Chính Hãng,HP,16689000,2.5,Intel Core i5,True,4GB,3 Cell 48 Whrs
284,7633153,Laptop Asus Vivobook X507UA-EJ500T Core i5-8250U/Win10 (15.6 inch FHD) - Hàng Chính Hãng,Asus,12379000,1.68,Intel Core i5,False,4GB,3-Cells 33 Whrs
285,21020301,Laptop Lenovo ThinkPad E490s 20NGS01N00 Core i7-8565U/ Dos (14 FHD) - Hàng Chính Hãng ,Lenovo,20359000,1.66,Intel Core i7,True,8GB,3-Cells 42Whr
286,23565721,Laptop ACER Aspire E5-576G-88EP NX.H2ESV.001 (Đen) - Hàng chính hãng,Acer,14099000,,,,,
287,34471726,Laptop Asus Vivobook S15 S530FN-BQ139T Core i7-8565U/ MX150 2GB/ Win10 (15.6 FHD IPS) - Gun Metal - Hàng Chính Hãng,Asus,20209000,,Intel Core i7-8565U,,"8GB DDR4 2400MHz (2x SO-DIMM socket, up to 24GB SDRAM)",3 Cells 42WHrs
288,42705981,"Laptop MSI GP65 Leopard 9SD-224VN (Core i7-9750H/ 16GB DDR4 2666MHz/ 512GB SSD PCIE/ GTX 1660Ti 6GB/ 15.6 FHD IPS 144Hz, 3ms/ Win10) - Hàng Chính Hãng",MSI,35279000,2.3,,True,16GB,6 Cell 51WHr
289,36165141,Laptop Asus ROG Strix SCAR III G531G_N-VAZ160T | i7-9750H | 16GB DDR4 | 512GB PCIe SSD | GeForce RTX 2060 6GB| 15.6 FHD IPS 240Hz | Win10 - Hàng chính hãng,Asus,46040000,,,,,
290,34391176,Laptop Asus Pro P3540FA-BQ0311T Core i5-8265U/ Win10 (15.6 FHD) - Hàng Chính Hãng,Asus,14859000,1.7,,,4GB DDR4 2400MHz Onboard,3 Cells 50WHr
